id,ecoli2,ecoli1,kp1,kp2,sp,mrsa,nts,shigella,neisseria
AT,9.4,19.8,8.2,0.6,3,7.8,0.7,24.4,13.2
BE,9.7,26.7,16.3,0.5,1.3,13.4,0,0,9
BG,40.4,38.6,74.8,7.2,25,20.8,n/a,n/a,n/a
HR,10.8,20.1,47.9,0.9,26.4,21.3,0,13,n/a
CY,28.8,46.4,32.5,5,0,36,n/a,n/a,10
CZ,14,21.6,52.9,0.1,5.8,13,3.8,n/a,n/a
DK,7,12.3,7.6,0.2,5.6,2.5,14.6,n/a,25
EE,9.3,12.3,20.7,0,4.2,3.1,1.1,n/a,n/a
FI,5.5,11,2.4,0,12.5,2.6,20.6,46.9,2.1
FR,9.9,17.6,29.6,0.5,22.3,17.4,9,0,0
DE,10.5,20.6,12.7,0.7,4.4,11.8,1.1,n/a,10.2
GR,21,32.8,72.5,62.3,11.7,37.1,0,0,3
HU,16.4,28.4,35.6,1.1,4.2,23.1,0.1,n/a,n/a
IS,3.3,7.8,0,0,17.7,3.3,4.5,n/a,n/a
IE,10.7,24.5,11.6,0.6,14.8,19.4,1,13,3.1
IT,28.7,43.9,56.5,32.9,4.2,33.6,11.3,n/a,3
LV,10.9,17.7,52.9,1.7,16.4,8.2,0,n/a,0
LT,8.1,12.8,52.6,1.3,6.3,7.8,0.7,n/a,n/a
LU,12,24.7,34.8,1.5,n/a,12,4.1,n/a,n/a
MT,10.8,29,29.7,9.9,2.1,42.7,9.2,n/a,7.7
NL,5.7,13.3,5.5,0.2,5.1,0.9,10.2,n/a,0
NO,5.8,11,5.9,0,32.3,1,2.2,14.4,1.3
PL,10.9,27.3,65.2,0.8,10.2,16,n/a,n/a,n/a
PT,16.4,32.4,40.9,1.8,46.7,47.4,n/a,n/a,n/a
RO,29.4,31.3,73.8,31.5,20.7,56,0.7,n/a,15.4
SK,31.8,43,69.4,2.6,9.7,28,3.2,n/a,n/a
SI,12.7,23.3,26.6,0.9,27.9,13.1,0.3,n/a,36.3
ES,12.3,34,18,2.3,7.9,22.1,0.7,n/a,15
SE,5.6,11.3,4.5,0,5.1,1,21,n/a,7.6
GB,10.3,16.8,9.3,0.8,n/a,11.3,17.6,n/a,2.8
